Id,packedCAP
0with0,0.695792901056059
0with1,0.40992207345655624
0with2,0.5134232402959139
0with3,0.3448076309067688
0with4,0.20755081176133805
0with5,0.4305050505050505
0with6,0.4328783069776455
0with7,0.673063173677118
0with8,0.16201955934514312
0with9,0.30897541304518056
0with10,0.34490740740740733
0with11,0.6219891567234325
0with12,0.48201013869737475
0with13,0.4950807144904003
0with14,0.33236988851775784
0with15,0.07156787043636652
0with16,0.24223227752639517
0with17,0.43473767012336434
0with18,0.7721255060728746
0with19,0.5596227515870372
1with0,0.5220632687096103
1with1,0.6782687926996794
1with2,0.7512762478634379
1with3,0.27014361300075584
1with4,0.0761223455915319
1with5,0.455273937532002
1with6,0.3561298036708663
1with7,0.7965780251494539
1with8,0.10654442681125215
1with9,0.4051695888652409
1with10,0.23436363636363636
1with11,0.6806007989350965
1with12,0.6090630405095453
1with13,0.5843278026503061
1with14,0.28782899165212145
1with15,0.19172644224480012
1with16,0.4183594183594184
1with17,0.3002473210260134
1with18,0.7095721307277276
1with19,0.40757785958146564
2with0,0.6010404161664666
2with1,0.5426451309912357
2with2,0.40428367928367936
2with3,0.3739380774264495
2with4,0.10717171717171715
2with5,0.663674082313682
2with6,0.46425165796753315
2with7,0.7844984203208657
2with8,0.1565832912301142
2with9,0.5791197691197691
2with10,0.29461279461279455
2with11,0.6056272892098842
2with12,0.40500710255017086
2with13,0.6007369019869022
2with14,0.2940372532688556
2with15,0.20347833612024074
2with16,0.3333333333333333
2with17,0.36964368368023187
2with18,0.7732373036621203
2with19,0.4369844334130048
3with0,0.41408877860490767
3with1,0.5086545310645032
3with2,0.35487551196802924
3with3,0.284485260770975
3with4,0.10344827586206896
3with5,0.6114766081871343
3with6,0.3388812742242305
3with7,0.6297671647648287
3with8,0.1730793496864517
3with9,0.2796740994854202
3with10,0.2513723544973545
3with11,0.610111777892856
3with12,0.3292622431747819
3with13,0.4187656698885849
3with14,0.2562900239510537
3with15,0.18413423424522202
3with16,0.33234946871310506
3with17,0.45361629789454827
3with18,0.7836433131617744
3with19,0.3586244481689617
4with0,0.4336767100320807
4with1,0.4078862540870327
4with2,0.32896059903876995
4with3,0.17901843317972346
4with4,0.1691311612364244
4with5,0.5530640919598737
4with6,0.3409850723383476
4with7,0.7377928660370726
4with8,0.09498686384404618
4with9,0.25884103641456585
4with10,0.3194444444444444
4with11,0.5578853314051425
4with12,0.493826483344522
4with13,0.5168069584736251
4with14,0.33789514186195907
4with15,0.1124938210578349
4with16,0.2975155279503105
4with17,0.400213247618908
4with18,0.6615985905856595
4with19,0.3328627073725113
5with0,0.584181694381026
5with1,0.5035597974822114
5with2,0.40545090369497017
5with3,0.5001678328442366
5with4,0.14287694063813466
5with5,0.322900408769974
5with6,0.40273994906136895
5with7,0.7634069634069633
5with8,0.14105675395814457
5with9,0.49049773755656106
5with10,0.1550653594771242
5with11,0.450491160101245
5with12,0.5182246767157254
5with13,0.5883828858657234
5with14,0.27463391890216904
5with15,0.28525641025641024
5with16,0.635064935064935
5with17,0.3291191995082747
5with18,0.6918130074918708
5with19,0.4379390251024072
6with0,0.5970388166204411
6with1,0.5208037612971823
6with2,0.43015464660631664
6with3,0.3233611468905586
6with4,0.1450957668062931
6with5,0.314746847355543
6with6,0.2974727813925583
6with7,0.7224224577398257
6with8,0.11143106052821097
6with9,0.49203772418058134
6with10,0.10618429189857763
6with11,0.5734000273658278
6with12,0.5532539352950483
6with13,0.47278407720403814
6with14,0.2846365417501093
6with15,0.1526978647231812
6with16,0.3645983645983645
6with17,0.3046472422036332
6with18,0.7034624345109853
6with19,0.3664452871689713
7with0,0.7631057012224776
7with1,0.4999506903353058
7with2,0.6784863275884948
7with3,0.19032359964438442
7with4,0.002525252525252525
7with5,0.5776245210727969
7with6,0.4096419686478936
7with7,0.6742529107459447
7with8,0.13579155940358495
7with9,0.304359243697479
7with10,0.18626673065642832
7with11,0.5429046340686573
7with12,0.44511415089810347
7with13,0.5388866299144186
7with14,0.2748918936488195
7with15,0.16063756687881092
7with16,0.3673469387755102
7with17,0.3192789058432456
7with18,0.5845980032609298
7with19,0.28262735051238674
8with0,0.5978315734608641
8with1,0.3037320130343386
8with2,0.4772668115199518
8with3,0.28575860203015374
8with4,0.07960199004975123
8with5,0.4390571781160017
8with6,0.32953552888145926
8with7,0.6848482519832151
8with8,0.0867359020360415
8with9,0.31349882311420774
8with10,0.18023842500989315
8with11,0.6486056109540417
8with12,0.36986598767086576
8with13,0.4808618761640015
8with14,0.2901493238162261
8with15,0.16847675201405238
8with16,0.20353229599239508
8with17,0.4447242765172036
8with18,0.7174055829228243
8with19,0.4628099173553719
9with0,0.40873897344485577
9with1,0.34340616813527025
9with2,0.3673511058421545
9with3,0.21464297612243696
9with4,0.1625442874325972
9with5,0.5872422064151388
9with6,0.3436058468419591
9with7,0.7128976692573185
9with8,0.12039340205448229
9with9,0.3242239242239243
9with10,0.12301587301587301
9with11,0.5731400419511838
9with12,0.5904982161207801
9with13,0.45223930481283425
9with14,0.34378506634308287
9with15,0.12058823529411766
9with16,0.29947089947089944
9with17,0.3955740747340329
9with18,0.8236016628873772
9with19,0.47503710121767584
